"","Rank_5_Lineage","Rank_1_Lineage","Profile","NovelProfile","PartialProfile"
"1",1,1,"1.1.1;1.1.10;1.1.3;1.1.8;1.1.9;1.17.9;1.23.1;1.26.1;1.3.1;1.3.3;1.37.1;1.47.1;1.54.8;1.55.1;1.56.8;1.57.8;1.65.1;1.70.1;1.77.1;1.8.1;6.1.8;6.3.1;7.1.9;18.1.1;19.3.1;30.3.1;37.3.1","1.1.21;1.48.1;1.73.10;1.73.3;1.Y.10;1.Y.3;18.3.Y;35.1.1;6.1.1;6.1.10;6.1.3;6.1.9;6.8.1;6.Y.1;6.Y.9;6.Y.Y;Y.1.8;Y.3.1;Y.Y.1;Y.Y.Y","1.X.1;1.X.Y;6.X.1;X.Y.1;Y.X.1"
"2",1,5,"1.1.1;1.1.3;1.3.1;1.79.1;6.3.1","6.1.1;6.1.10;6.1.3","1.X.1"
"3",1,9,"1.3.1;6.3.1","6.8.1;Y.Y.1",""
"4",1,13,"1.13.10;1.48.10","6.13.10;6.Y.10",""
"5",1,17,"1.3.1;1.70.1",NA,NA
"6",1,28,"1.3.1;6.3.1",NA,NA
"7",2,2,"3.2.3;9.14.3;9.16.3;9.20.3;9.7.3;12.15.10;15.7.3","28.16.3;28.2.3;28.7.3;28.7.Y;28.Y.3;Y.7.3;Y.Y.3;Y.Y.Y","28.16.X;Y.16.X;Y.X.X"
"8",2,3,"3.2.3;9.24.8","28.2.10;28.24.10;28.24.Y;28.Y.10;9.14.10;9.2.10;9.24.10;9.Y.10;Y.14.10;Y.2.10;Y.24.10;Y.Y.10","28.2.X;X.Y.10;Y.X.Y"
"9",2,6,"3.2.3","Y.2.10","3.2.X"
"10",2,7,"3.2.3","36.81.Y;Y.2.10;Y.2.8",""
"11",2,8,"10.14.10;11.14.10",NA,NA
"12",2,18,"3.2.3",NA,NA
"13",2,19,"9.7.3","28.7.3",""
"14",2,22,"10.14.10",NA,NA
"15",2,23,"3.2.3",NA,NA
"16",2,24,"10.14.10",NA,NA
"17",2,26,"10.14.10",NA,NA
"18",2,27,"10.14.10",NA,NA
"19",3,4,"20.2.10","Y.2.3;Y.Y.10","X.Y.10"
"20",2,21,NA,"28.16.3",""
"21",2,29,NA,"9.Y.10",""
"22",4,10,NA,"Y.Y.10","X.Y.10"
"23",4,11,NA,"","X.Y.10"
"24",4,12,NA,"Y.Y.10",""
"25",4,14,NA,"Y.Y.10",""
"26",4,16,NA,"Y.Y.10",""
"27",4,25,NA,"Y.Y.10","X.Y.10"
"28",5,15,NA,"Y.Y.10","X.Y.X"
"29",5,20,NA,"Y.Y.9",""
