Rank_5_Lineage,Rank_1_Lineage,SS14-like,Nichols-like,NotTPA,Unknown,Failed,Total
1,1,397,0,4,49,8,458
1,5,22,0,1,3,2,28
1,9,6,0,0,2,0,8
1,13,3,0,0,2,0,5
1,17,3,0,1,0,0,4
1,28,2,0,0,0,0,2
2,2,0,30,3,50,3,86
2,3,0,3,0,76,3,82
2,6,0,23,0,1,1,25
2,7,0,9,0,4,0,13
2,8,0,9,0,0,0,9
2,18,0,4,0,0,0,4
2,19,0,2,0,2,0,4
2,21,0,0,0,3,0,3
2,22,0,3,0,0,0,3
2,23,0,3,0,0,0,3
2,24,0,3,0,0,0,3
2,26,0,3,0,0,0,3
2,27,0,2,0,0,0,2
2,29,0,0,0,2,0,2
3,4,0,25,0,11,1,37
4,10,0,0,0,4,4,8
4,11,0,0,0,0,7,7
4,12,0,0,0,6,0,6
4,14,0,0,0,5,0,5
4,16,0,0,0,5,0,5
4,25,0,0,0,2,1,3
5,15,0,0,0,4,1,5
5,20,0,0,0,4,0,4
Total,NA,433,119,9,235,31,827
